Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%_O,TOV%_O,ORB%_O,FG/FGA_O,eFG%_D,TOV%_D,ORB%_D,FG/FGA_D
1956,Boston Celtics,72,,38.1,96.0,0.397,,,,38.1,96.0,0.397,29.8,38.7,0.769,,,63.7,25.5,,,,26.0,106.0,3,26.9,39,33,38,34,0.65,0.07,0.72,92.2,91.7,+0.5,114.5,.403,,.469,.397,,,.310,,,,
1956,Philadelphia Warriors,72,,36.7,89.4,0.41,,,,36.7,89.4,0.41,29.8,39.3,0.757,,,60.6,26.2,,,,26.0,103.1,1,25.6,45,27,46,26,4.26,-0.45,3.82,94.6,90.7,+3.9,108.5,.439,,.483,.410,,,.333,,,,
1956,New York Knicks,72,,34.8,88.8,0.392,,,,34.8,88.8,0.392,30.5,40.5,0.754,,,63.4,22.4,,,,26.7,100.2,5,26.8,35,37,35,37,-0.42,0.22,-0.20,92.4,92.8,-0.4,106.5,.456,,.470,.392,,,.343,,,,
1956,Minneapolis Lakers,72,,35.3,90.9,0.388,,,,35.3,90.9,0.388,28.7,36.5,0.786,,,57.4,23.5,,,,27.5,99.3,6,26.8,33,39,34,38,-0.89,-0.03,-0.92,91.5,92.4,-0.9,108.0,.401,,.464,.388,,,.316,,,,
1956,Syracuse Nationals,72,,34.3,92.5,0.37,,,,34.3,92.5,0.37,28.4,37.5,0.756,,,56.4,23.8,,,,24.8,96.9,4,26.1,35,37,36,36,0.01,0.16,0.17,88.0,88.0,0.0,108.5,.406,,.444,.370,,,.307,,,,
1956,St. Louis Hawks,72,,34.8,92.1,0.378,,,,34.8,92.1,0.378,27.0,38.3,0.703,,,62.4,24.3,,,,27.4,96.6,7,25.7,33,39,32,40,-1.47,0.05,-1.42,87.6,88.9,-1.3,109.4,.417,,.443,.378,,,.293,,,,
1956,Rochester Royals,72,,35.4,95.7,0.37,,,,35.4,95.7,0.37,25.0,35.7,0.7,,,61.8,24.3,,,,27.6,95.8,8,25.2,31,41,29,43,-2.86,0.25,-2.61,85.3,87.9,-2.6,111.7,.373,,.430,.370,,,.261,,,,
1956,Fort Wayne Pistons,72,,33.3,85.8,0.388,,,,33.3,85.8,0.388,27.8,37.9,0.734,,,55.2,24.3,,,,24.8,94.4,2,27.2,37,35,38,34,0.71,-0.26,0.45,90.7,90.0,+0.7,103.2,.442,,.461,.388,,,.324,,,,
1957,Boston Celtics,72,,39.0,101.8,0.383,,,,39.0,101.8,0.383,27.5,36.7,0.75,,,68.9,20.3,,,,25.7,105.5,1,27.0,44,28,49,23,5.36,-0.58,4.78,88.5,84.0,+4.5,118.0,.361,,.448,.383,,,.271,,,,
1957,Minneapolis Lakers,72,,35.9,96.7,0.371,,,,35.9,96.7,0.371,30.5,40.3,0.757,,,63.6,16.6,,,,26.2,102.3,5,25.5,34,38,34,38,-0.81,-0.08,-0.89,88.5,89.2,-0.7,114.8,.416,,.447,.371,,,.315,,,,
