Year,PPG,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK
1950,80.11176470588235,28.26111111111111,83.1111111111111,0.34038888888888885,,,,23.62777777777778,33.06666666666667,0.7143333333333334,,19.633333333333336,,
1951,83.93636363636364,29.691666666666674,83.54166666666667,0.35608333333333336,,,,24.55,33.416666666666664,0.735,49.275,20.791666666666668,,
1952,83.69000000000001,29.62727272727273,80.83636363636364,0.3663636363636363,,,,24.436363636363637,33.24545454545454,0.7349090909090908,54.50909090909091,21.89090909090909,,
1953,82.69000000000001,28.518181818181816,77.11818181818181,0.3695454545454545,,,,25.681818181818183,35.88181818181818,0.7153636363636365,51.51818181818182,20.990909090909092,,
1954,79.54444444444444,28.060000000000002,75.36,0.372,,,,23.43,33.05,0.7087,50.9,20.34,,
1955,93.0875,33.288888888888884,86.4,0.3853333333333333,,,,26.48888888888889,35.92222222222222,0.7375,56.05555555555556,23.62222222222222,,
1956,99.0375,35.333333333333336,91.4,0.38666666666666666,,,,28.37777777777778,38.044444444444444,0.7448888888888888,60.111111111111114,24.28888888888889,,
1957,99.625,35.93333333333333,94.55555555555556,0.38011111111111107,,,,27.733333333333334,36.94444444444444,0.7506666666666667,62.400000000000006,18.866666666666667,,
1958,106.6375,39.022222222222226,101.86666666666667,0.3831111111111112,,,,28.577777777777776,38.27777777777778,0.7466666666666667,71.67777777777778,19.633333333333333,,
1959,108.26249999999999,40.41111111111111,102.32222222222221,0.39477777777777784,,,,27.45555555555556,36.31111111111111,0.7552222222222222,70.04444444444444,19.61111111111111,,
1960,115.33749999999999,44.48888888888889,108.67777777777776,0.4094444444444445,,,,26.333333333333332,35.84444444444444,0.7348888888888889,73.5,22.555555555555557,,
1961,118.125,45.37777777777777,109.38888888888889,0.41488888888888886,,,,27.4,37.36666666666666,0.7336666666666667,73.28888888888888,24.177777777777777,,
1962,118.75555555555555,45.91,107.74000000000001,0.426,,,,26.96,37.07000000000001,0.7276,71.41,23.93,,
1963,115.26666666666668,44.589999999999996,101.24,0.4408,,,,26.089999999999996,35.88,0.7264,66.72,22.689999999999998,,
1964,111.02222222222223,42.87,99.08000000000001,0.43310000000000004,,,,25.28,35.00000000000001,0.7222999999999999,65.86999999999999,21.41,,
1965,110.6111111111111,42.489999999999995,99.85,0.42590000000000006,,,,25.620000000000005,35.56,0.7202,67.27,20.97,,
1966,115.5,44.32,102.45,0.433,,,,26.859999999999996,36.97,0.7270000000000001,68.22999999999999,22.86,,
1967,117.45,45.46363636363637,103.1,0.4412727272727272,,,,26.518181818181816,36.236363636363635,0.7327272727272728,67.33636363636363,22.436363636363634,,
1968,116.60000000000001,44.97692307692307,100.80000000000001,0.4463846153846154,,,,26.676923076923078,37.06923076923077,0.7204615384615386,66.21538461538461,22.838461538461537,,
1969,112.30714285714285,43.67333333333333,99.03333333333335,0.44126666666666664,,,,24.986666666666668,35.00666666666666,0.7145333333333334,56.9,23.14,,
