Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,GS,ORB,DRB,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%,eFG%
1.0,Bob Pettit,23.0,STL,C,72.0,38.8,9.0,20.9,0.429,7.7,10.5,0.736,16.2,2.6,2.8,25.7,"MVP-1,AS,NBA1",,,,,,,,,,,,,
8.0,Bob Cousy,28.0,BOS,PG,64.0,36.9,7.5,19.8,0.378,5.7,6.9,0.821,4.8,7.5,2.1,20.6,"MVP-1,AS,NBA1",,,,,,,,,,,,,
17.0,Bill Russell,23.0,BOS,C,69.0,38.3,6.6,15.0,0.442,3.3,6.4,0.519,22.7,2.9,2.6,16.6,"MVP-1,AS,NBA2",,,,,,,,,,,,,
1.0,Bob Pettit,26.0,STL,PF,72.0,39.9,10.0,22.8,0.438,9.3,12.2,0.759,16.4,3.1,2.8,29.2,"MVP-1,AS,NBA1",,,,,,,,,,,,,
1.0,Wilt Chamberlain,23.0,PHW,C,72.0,46.4,14.8,32.1,0.461,8.0,13.8,0.582,27.0,2.3,2.1,37.6,"MVP-1,ROY-1,AS,NBA1",,,,,,,,,,,,,
19.0,Bill Russell,26.0,BOS,C,78.0,44.3,6.8,16.0,0.426,3.3,6.0,0.55,23.9,3.4,2.0,16.9,"MVP-1,AS,NBA2",,,,,,,,,,,,,
18.0,Bill Russell,27.0,BOS,C,76.0,45.2,7.6,16.6,0.457,3.8,6.3,0.595,23.6,4.5,2.7,18.9,"MVP-1,AS,NBA2",,,,,,,,,,,,,
19.0,Bill Russell,28.0,BOS,C,78.0,44.9,6.6,15.2,0.432,3.7,6.6,0.555,23.6,4.5,2.4,16.8,"MVP-1,AS,NBA1",,,,,,,,,,,,,
2.0,Oscar Robertson,25.0,CIN,PG,79.0,45.1,10.6,22.0,0.483,10.1,11.9,0.853,9.9,11.0,3.5,31.4,"MVP-1,AS,NBA1",,,,,,,,,,,,,
31.0,Bill Russell,30.0,BOS,C,78.0,44.4,5.5,12.6,0.438,3.1,5.5,0.573,24.1,5.3,2.6,14.1,"MVP-1,AS,NBA1",,,,,,,,,,,,,
1.0,Wilt Chamberlain,29.0,PHI,C,79.0,47.3,13.6,25.2,0.54,6.3,12.4,0.513,24.6,5.2,2.2,33.5,"MVP-1,AS,NBA1",,,,,,,,,,,,,
5.0,Wilt Chamberlain,30.0,PHI,C,81.0,45.5,9.7,14.2,0.683,4.8,10.8,0.441,24.2,7.8,1.8,24.1,"MVP-1,AS,NBA1",,,,,,,,,,,,,
5.0,Wilt Chamberlain,31.0,PHI,C,82.0,46.8,10.0,16.8,0.595,4.3,11.4,0.38,23.8,8.6,2.0,24.3,"MVP-1,AS,NBA1",,,,,,,,,,,,,
59.0,Wes Unseld,22.0,BAL,C,82.0,36.2,5.2,10.9,0.476,3.4,5.6,0.605,18.2,2.6,3.4,13.8,"MVP-1,ROY-1,AS,NBA1",,,,,,,,,,,,,
20.0,Willis Reed,27.0,NYK,C,81.0,38.1,8.7,17.1,0.507,4.3,5.7,0.756,13.9,2.0,3.5,21.7,"MVP-1,AS,NBA1",81.0,,,,,,,,,,,,
1.0,Kareem Abdul-Jabbar,23.0,MIL,C,82.0,40.1,13.0,22.5,0.577,5.7,8.3,0.69,16.0,3.3,3.2,31.7,"MVP-1,AS,NBA1",,,,,,,,,,,,,
1.0,Kareem Abdul-Jabbar,24.0,MIL,C,81.0,44.2,14.3,24.9,0.574,6.2,9.0,0.689,16.6,4.6,2.9,34.8,"MVP-1,AS,NBA1",,,,,,,,,,,,,
19.0,Dave Cowens,24.0,BOS,C,82.0,41.8,9.0,20.0,0.452,2.5,3.2,0.779,16.2,4.1,3.8,20.5,"MVP-1,AS,NBA2",,,,,,,,,,,,,
3.0,Kareem Abdul-Jabbar,26.0,MIL,C,81.0,43.8,11.7,21.7,0.539,3.6,5.2,0.702,14.5,4.8,2.9,27.0,"MVP-1,AS,NBA1",,3.5,11.0,1.4,3.5,,,,,,,,
1.0,Bob McAdoo,23.0,BUF,C,82.0,43.2,13.4,26.1,0.512,7.8,9.7,0.805,14.1,2.2,3.4,34.5,"MVP-1,AS,NBA1",,3.7,10.3,1.1,2.1,,,,,,,,
2.0,Kareem Abdul-Jabbar,28.0,LAL,C,82.0,41.2,11.1,21.1,0.529,5.5,7.8,0.703,16.9,5.0,3.6,27.7,"MVP-1,AS,NBA1",82.0,3.3,13.5,1.5,4.1,,,,,,,,
3.0,Kareem Abdul-Jabbar,29.0,LAL,C,82.0,36.8,10.8,18.7,0.579,4.6,6.5,0.701,13.3,3.9,3.2,26.2,"MVP-1,AS,NBA1",82.0,3.2,10.0,1.2,3.2,,,,,,,,
36.0,Bill Walton,25.0,POR,C,58.0,33.3,7.9,15.2,0.522,3.1,4.2,0.72,13.2,5.0,2.5,18.9,"MVP-1,AS,NBA1",,2.0,11.2,1.0,2.5,3.6,,,,,,,
7.0,Moses Malone,23.0,HOU,C,82.0,41.3,8.7,16.2,0.54,7.3,9.9,0.739,17.6,1.8,2.7,24.8,"MVP-1,AS,NBA1",82.0,7.2,10.5,1.0,1.5,4.0,,,,,,,
6.0,Kareem Abdul-Jabbar,32.0,LAL,C,82.0,38.3,10.2,16.9,0.604,4.4,5.8,0.765,10.8,4.5,2.6,24.8,"MVP-1,AS,NBA1",,2.3,8.5,1.0,3.4,3.6,0.0,0.0,0.0,10.2,16.9,0.604,0.604
7.0,Julius Erving,30.0,PHI,SF,82.0,35.0,9.7,18.6,0.521,5.1,6.5,0.787,8.0,4.4,2.8,24.6,"MVP-1,AS,NBA1",82.0,3.0,5.0,2.1,1.8,3.2,0.0,0.2,0.222,9.6,18.4,0.525,0.522
2.0,Moses Malone,26.0,HOU,C,81.0,42.0,11.7,22.5,0.519,7.8,10.2,0.762,14.7,1.8,2.6,31.1,"MVP-1,AS,NBA1",81.0,6.9,7.8,0.9,1.5,3.6,0.0,0.1,0.0,11.7,22.4,0.52,0.519
6.0,Moses Malone,27.0,PHI,C,78.0,37.5,8.4,16.7,0.501,7.7,10.1,0.761,15.3,1.3,2.6,24.5,"MVP-1,AS,NBA1",78.0,5.7,9.6,1.1,2.0,3.4,0.0,0.0,0.0,8.4,16.7,0.502,0.501
7.0,Larry Bird,27.0,BOS,PF,79.0,38.3,9.6,19.5,0.492,4.7,5.3,0.888,10.1,6.6,2.5,24.2,"MVP-1,DPOY-12,AS,NBA1",77.0,2.3,7.8,1.8,0.9,3.0,0.2,0.9,0.247,9.4,18.6,0.504,0.497
2.0,Larry Bird,28.0,BOS,SF,80.0,39.5,11.5,22.0,0.522,5.0,5.7,0.882,10.5,6.6,2.6,28.7,"MVP-1,AS,NBA1",77.0,2.1,8.5,1.6,1.2,3.1,0.7,1.6,0.427,10.8,20.4,0.529,0.538
4.0,Larry Bird,29.0,BOS,SF,82.0,38.0,9.7,19.6,0.496,5.4,6.0,0.896,9.8,6.8,2.2,25.8,"MVP-1,AS,NBA1",81.0,2.3,7.5,2.0,0.6,3.2,1.0,2.4,0.423,8.7,17.2,0.506,0.521
10.0,Magic Johnson,27.0,LAL,PG,80.0,36.3,8.5,16.4,0.522,6.7,7.9,0.848,6.3,12.2,2.1,23.9,"MVP-1,AS,NBA1",80.0,1.5,4.8,1.7,0.5,3.8,0.1,0.5,0.205,8.4,15.9,0.532,0.525
1.0,Michael Jordan,24.0,CHI,SG,82.0,40.4,13.0,24.4,0.535,8.8,10.5,0.841,5.5,5.9,3.3,35.0,"MVP-1,DPOY-1,AS,NBA1",82.0,1.7,3.8,3.2,1.6,3.1,0.1,0.6,0.132,13.0,23.7,0.546,0.537
14.0,Magic Johnson,29.0,LAL,PG,77.0,37.5,7.5,14.8,0.509,6.7,7.3,0.911,7.9,12.8,2.2,22.5,"MVP-1,AS,NBA1",77.0,1.4,6.4,1.8,0.3,4.1,0.8,2.4,0.314,6.8,12.3,0.548,0.535
23.0,Magic Johnson,30.0,LAL,PG,79.0,37.2,6.9,14.4,0.48,7.2,8.1,0.89,6.6,11.5,2.1,22.3,"MVP-1,AS,NBA1",79.0,1.6,5.0,1.7,0.4,3.7,1.3,3.5,0.384,5.6,10.9,0.51,0.526
1.0,Michael Jordan,27.0,CHI,SG,82.0,37.0,12.1,22.4,0.539,7.0,8.2,0.851,6.0,5.5,2.8,31.5,"MVP-1,DPOY-7,AS,NBA1",82.0,1.4,4.6,2.7,1.0,2.5,0.4,1.1,0.312,11.7,21.3,0.551,0.547
1.0,Michael Jordan,28.0,CHI,SG,80.0,38.8,11.8,22.7,0.519,6.1,7.4,0.832,6.4,6.1,2.5,30.1,"MVP-1,DPOY-3,AS,NBA1",80.0,1.1,5.3,2.3,0.9,2.5,0.3,1.3,0.27,11.5,21.5,0.533,0.526
6.0,Charles Barkley,29.0,PHO,PF,76.0,37.6,9.4,18.1,0.52,5.9,7.7,0.765,12.2,5.1,2.6,25.6,"MVP-1,AS,NBA1",76.0,3.1,9.1,1.6,1.0,3.1,0.9,2.9,0.305,8.5,15.2,0.561,0.545
3.0,Hakeem Olajuwon,31.0,HOU,C,80.0,41.0,11.2,21.2,0.528,4.9,6.8,0.716,11.9,3.6,3.6,27.3,"MVP-1,DPOY-1,AS,NBA1",80.0,2.9,9.1,1.6,3.7,3.4,0.1,0.2,0.421,11.1,20.9,0.529,0.53
3.0,David Robinson,29.0,SAS,C,81.0,38.0,9.7,18.4,0.53,8.1,10.5,0.774,10.8,2.9,2.8,27.6,"MVP-1,DPOY-4,AS,NBA1",81.0,2.9,7.9,1.7,3.2,2.9,0.1,0.2,0.3,9.7,18.1,0.533,0.532
1.0,Michael Jordan,32.0,CHI,SG,82.0,37.7,11.2,22.6,0.495,6.7,8.0,0.834,6.6,4.3,2.4,30.4,"MVP-1,DPOY-6,AS,NBA1",82.0,1.8,4.8,2.2,0.5,2.4,1.4,3.2,0.427,9.8,19.4,0.506,0.525
2.0,Karl Malone,33.0,UTA,PF,82.0,36.6,10.5,19.2,0.55,6.4,8.4,0.755,9.9,4.5,2.6,27.4,"MVP-1,AS,NBA1",82.0,2.4,7.5,1.4,0.6,2.8,0.0,0.2,0.0,10.5,19.0,0.555,0.55
1.0,Michael Jordan,34.0,CHI,SG,82.0,38.8,10.7,23.1,0.465,6.9,8.8,0.784,5.8,3.5,1.8,28.7,"MVP-1,DPOY-4,AS,NBA1",82.0,1.6,4.2,1.7,0.5,2.3,0.4,1.5,0.238,10.4,21.5,0.482,0.473
3.0,Karl Malone,35.0,UTA,PF,49.0,37.4,8.0,16.3,0.493,7.7,9.8,0.788,9.4,4.1,2.7,23.8,"MVP-1,NBA1",49.0,2.2,7.3,1.3,0.6,3.3,0.0,0.0,0.0,8.0,16.2,0.494,0.493
1.0,Shaquille O'Neal,27.0,LAL,C,79.0,40.0,12.1,21.1,0.574,5.5,10.4,0.524,13.6,3.8,3.2,29.7,"MVP-1,DPOY-2,AS,NBA1",79.0,4.3,9.4,0.5,3.0,2.8,0.0,0.0,0.0,12.1,21.1,0.575,0.574
1.0,Allen Iverson,25.0,PHI,SG,71.0,42.0,10.7,25.5,0.42,8.2,10.1,0.814,3.8,4.6,2.1,31.1,"MVP-1,DPOY-11,AS,NBA1",71.0,0.7,3.1,2.5,0.3,3.3,1.4,4.3,0.32,9.4,21.2,0.441,0.447
5.0,Tim Duncan,25.0,SAS,PF,82.0,40.6,9.3,18.3,0.508,6.8,8.5,0.799,12.7,3.7,2.6,25.5,"MVP-1,AS,NBA1",82.0,3.3,9.4,0.7,2.5,3.2,0.0,0.1,0.1,9.3,18.2,0.511,0.508
7.0,Tim Duncan,26.0,SAS,PF,81.0,39.3,8.8,17.2,0.513,5.6,7.8,0.71,12.9,3.9,2.9,23.3,"MVP-1,DPOY-4,AS,NBA1",81.0,3.2,9.7,0.7,2.9,3.1,0.1,0.3,0.273,8.7,16.9,0.517,0.515
3.0,Kevin Garnett,27.0,MIN,PF,82.0,39.4,9.8,19.6,0.499,4.5,5.7,0.791,13.9,5.0,2.5,24.2,"MVP-1,DPOY-6,AS,NBA1",82.0,3.0,10.9,1.5,2.2,2.6,0.1,0.5,0.256,9.7,19.1,0.506,0.502
73.0,Steve Nash,30.0,PHO,PG,75.0,34.3,5.7,11.4,0.502,2.8,3.2,0.887,3.3,11.5,1.8,15.5,"MVP-1,AS,NBA1",75.0,0.8,2.6,1.0,0.1,3.3,1.3,2.9,0.431,4.5,8.5,0.526,0.557
37.0,Steve Nash,31.0,PHO,PG,79.0,35.4,6.8,13.4,0.512,3.3,3.5,0.921,4.2,10.5,1.5,18.8,"MVP-1,AS,NBA1",79.0,0.6,3.6,0.8,0.2,3.5,1.9,4.3,0.439,4.9,9.0,0.548,0.583
16.0,Dirk Nowitzki,28.0,DAL,PF,78.0,36.2,8.6,17.2,0.502,6.4,7.1,0.904,8.9,3.4,2.2,24.6,"MVP-1,AS,NBA1",78.0,1.6,7.3,0.7,0.8,2.1,0.9,2.2,0.416,7.7,15.0,0.515,0.529
